,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
0,Aatrox,1,4,God,69.36,3.2,48.94,92.64,7.31,5.43,1.96
1,Ahri,2,2,God,73.72,-5.74,50.04,95.11,9.83,8.59,2.63
2,Akali,0,2,S,58.67,2.63,48.7,68.12,6.26,11.79,2.39
3,Akali TOP,0,4,B,43.83,-0.89,47.58,30.92,2.67,11.79,2.05
4,Akshan,3,2,B,46.91,-0.64,49.5,58.88,2.93,7.6,2.22
5,Akshan TOP,3,4,C,41.96,-1.66,49.88,32.79,1.65,7.6,1.97
6,Alistar,5,3,B,43.0,0.66,49.22,95.98,2.64,0.64,2.46
7,Amumu,5,1,B,46.12,6.63,49.58,84.3,1.99,0.82,2.64
8,Amumu SUPPORT,5,3,D,33.52,-1.69,48.18,13.28,0.25,0.86,2.06
9,Anivia,2,2,A,51.59,-4.62,51.28,81.32,2.83,3.57,2.64
10,Anivia SUPPORT,2,3,D,29.4,-5.21,45.44,12.92,0.38,3.54,2.16
11,Annie,2,2,B,44.82,1.56,50.58,82.59,1.62,0.68,2.36
12,Annie SUPPORT,2,3,D,29.45,-8.04,46.02,10.57,0.2,0.73,2.03
13,Aphelios,3,0,D,32.6,1.84,46.64,96.92,5.11,0.9,1.99
14,Ashe,3,3,A,54.47,15.88,49.33,47.59,6.82,3.69,2.48
15,Ashe ADC,3,0,A,48.91,-4.7,49.97,49.42,7.29,3.69,2.41
16,Aurelion Sol,2,2,B,43.28,1.43,50.5,87.19,0.94,0.34,2.51
17,Azir,2,2,B,43.53,0.23,47.54,88.1,3.42,0.85,2.1
18,Bard,4,3,A,49.17,-2.22,50.12,94.91,3.67,0.62,2.98
19,Bel'Veth,1,1,God,94.93,0.0,52.85,89.76,19.56,48.2,2.38
20,Blitzcrank,5,3,A,53.79,-4.21,49.53,98.22,5.8,13.42,2.42
21,Brand,2,3,B,44.23,-4.1,49.41,67.65,3.65,5.39,1.83
22,Brand MID,2,2,C,41.83,-5.71,50.68,22.09,1.01,5.39,2.06
23,Braum,4,3,B,42.98,-4.81,49.22,97.99,2.11,0.34,2.83
24,Caitlyn,3,0,A,49.24,4.14,47.5,96.46,9.4,5.44,2.17
25,Camille,1,4,S,58.2,-5.64,50.51,94.61,4.67,2.88,1.97
26,Cassiopeia,2,2,B,47.44,1.64,51.4,75.43,2.26,1.75,2.15
27,Cassiopeia TOP,2,4,D,35.48,2.33,50.28,14.67,0.45,1.75,1.86
28,Cho'Gath,5,4,B,44.27,1.01,49.98,65.72,2.08,0.77,2.07
29,Cho'Gath MID,5,2,C,41.94,1.84,51.07,18.98,0.52,0.82,2.29
30,Corki,3,2,B,43.44,1.19,49.52,92.08,1.9,0.28,2.31
31,Darius,1,4,God,91.39,-1.55,50.9,93.18,9.21,19.26,1.91
32,Diana,1,1,S,59.7,-7.0,52.2,82.57,8.81,6.96,2.58
33,Diana MID,1,2,B,45.3,-0.09,50.9,15.74,1.71,6.96,2.2
34,Dr. Mundo,3,4,S,57.55,7.29,52.85,86.48,3.26,1.93,2.28
35,Draven,1,0,A,48.22,7.28,51.04,94.09,6.3,10.65,2.16
36,Ekko,0,1,A,52.76,-2.1,51.35,60.78,4.07,2.4,2.85
37,Ekko MID,0,2,B,47.57,4.37,50.7,36.6,2.39,2.4,2.35
38,Elise,2,1,C,40.42,10.76,47.02,90.53,1.4,0.61,2.51
39,Evelynn,0,1,C,42.27,5.33,46.5,98.12,2.52,3.77,2.81
40,Ezreal,3,0,God,85.75,-4.46,48.86,95.33,20.31,4.81,2.45
41,Fiddlesticks,2,1,B,45.68,0.39,49.3,85.82,2.15,1.21,2.6
42,Fiora,1,4,God,90.27,2.38,52.0,97.43,8.29,21.55,1.85
43,Fizz,0,2,A,48.39,-2.63,49.52,95.13,3.06,4.66,2.48
44,Galio,5,2,B,46.03,-2.55,49.82,78.48,2.07,0.34,2.61
45,Galio SUPPORT,5,3,C,38.58,1.8,49.96,18.49,0.46,0.34,2.42
46,Gangplank,1,4,God,76.32,-12.54,47.96,79.13,8.2,12.43,2.05
47,Gangplank MID,1,2,C,41.06,0.4,47.57,19.73,2.19,12.43,2.19
48,Garen,1,4,S,64.73,-5.17,50.79,85.02,5.76,2.6,2.05
49,Gnar,1,4,A,50.36,2.45,49.48,96.33,3.61,0.7,1.99
50,Gragas,1,1,A,50.53,21.83,51.55,28.02,1.27,0.46,3.1
51,Gragas MID,1,2,B,48.08,6.71,53.14,13.53,0.7,0.46,2.64
52,Gragas TOP,1,4,B,43.3,9.19,48.42,48.05,2.43,0.46,2.16
53,Graves,3,1,A,51.0,-27.1,48.41,76.74,7.18,6.77,2.59
54,Graves TOP,3,4,D,35.55,-2.85,48.15,15.85,1.42,6.77,1.72
55,Gwen,1,4,B,47.19,-28.04,46.69,81.35,4.37,4.91,1.62
56,Gwen JUNGLE,1,1,C,37.82,-0.43,46.64,14.06,0.77,4.91,2.24
57,Hecarim,1,1,B,47.57,3.34,49.0,97.91,2.97,1.62,2.92
58,Heimerdinger,2,2,B,47.0,5.69,53.75,43.04,0.84,0.88,2.09
59,Heimerdinger SUPPORT,2,3,D,35.9,0.0,50.07,11.61,0.17,0.88,1.85
60,Heimerdinger TOP,2,4,D,30.23,6.94,48.27,30.15,0.57,0.88,1.58
61,Heimerdinger ADC,2,0,D,28.61,5.19,50.96,14.82,0.21,0.88,2.15
62,Illaoi,1,4,A,51.17,7.39,51.67,92.55,3.32,5.09,1.45
63,Irelia,1,4,S,62.82,-0.02,49.01,52.53,5.51,18.88,1.62
64,Irelia MID,1,2,A,52.6,3.93,49.44,45.53,4.62,18.88,1.79
65,Ivern,4,1,C,40.26,2.89,45.79,76.31,1.02,0.36,3.09
66,Ivern SUPPORT,4,3,D,22.55,-10.81,41.49,11.06,0.15,0.36,2.37
67,Janna,4,3,God,65.82,3.55,54.37,98.55,6.55,2.06,3.37
68,Jarvan IV,5,1,A,48.13,5.75,49.41,87.11,1.93,0.25,3.2
69,Jax,1,4,S,63.5,-5.76,50.3,84.17,5.74,9.34,1.67
70,Jax JUNGLE,1,1,B,43.18,5.79,49.68,13.89,1.01,8.94,2.18
71,Jayce,1,4,C,42.19,-1.53,48.29,81.69,2.69,0.45,1.81
72,Jayce MID,1,2,D,36.29,-3.85,48.6,17.13,0.49,0.45,2.1
73,Jhin,3,0,God,84.5,-5.23,51.51,97.03,16.81,5.0,2.99
74,Jinx,3,0,A,50.61,-8.05,49.13,98.28,9.07,1.48,2.21
75,Kai'Sa,3,0,God,65.83,-23.19,49.38,96.58,13.59,2.32,2.44
76,Kalista,3,0,C,42.14,5.97,50.34,90.92,4.76,2.51,2.39
77,Karma,2,3,A,55.2,-0.74,48.4,84.13,7.43,2.42,2.73
78,Karthus,2,1,C,41.19,-0.04,47.09,62.99,2.03,3.18,2.46
79,Karthus MID,2,2,C,39.88,7.99,50.23,13.74,0.44,3.18,2.23
80,Karthus ADC,2,0,D,28.14,-6.59,49.99,17.11,0.63,3.18,2.19
81,Kassadin,0,2,A,54.61,1.24,50.63,96.05,4.05,9.23,2.5
82,Katarina,0,2,S,62.3,-3.41,48.22,94.42,7.76,11.36,2.29
83,Kayle,1,4,God,68.51,-19.28,50.43,82.33,6.7,6.37,1.79
84,Kayle MID,1,2,B,45.86,-10.26,51.96,15.64,1.31,6.37,2.19
85,Kayn,1,1,S,58.55,-16.72,50.18,95.91,10.6,10.45,2.45
86,Kennen,2,2,B,43.37,3.49,51.89,18.3,0.3,0.41,2.41
87,Kennen TOP,2,4,C,38.3,7.83,48.95,77.59,1.38,0.47,2.01
88,Kha'Zix,0,1,A,51.19,-8.16,49.8,98.0,5.59,4.61,2.61
89,Kindred,3,1,A,49.09,-6.07,49.87,93.94,5.03,4.29,2.26
90,Kled,1,4,C,41.41,2.24,48.66,88.13,1.75,1.01,2.31
91,Kog'Maw,3,0,C,41.77,-18.45,51.01,91.32,4.37,5.4,2.24
92,LeBlanc,0,2,B,46.9,2.56,47.78,92.3,3.02,5.34,2.85
93,Lee Sin,1,1,A,51.57,-12.02,46.08,92.75,10.37,6.62,2.68
94,Leona,5,3,A,49.45,-3.9,49.25,98.12,4.99,7.07,2.32
95,Lillia,1,1,A,54.32,-13.46,50.86,75.97,5.75,5.68,2.85
96,Lillia TOP,1,4,B,46.31,-0.18,51.9,20.05,1.48,5.68,2.19
97,Lissandra,2,2,B,47.29,5.06,49.03,92.59,3.2,1.02,2.43
98,Lucian,3,0,God,67.64,-9.54,50.54,88.48,12.15,11.91,2.38
99,Lulu,4,3,God,72.17,-0.84,50.26,96.0,10.1,17.38,3.09
100,Lux,2,2,S,62.32,0.09,52.12,36.04,4.83,8.16,2.96
101,Lux SUPPORT,2,3,S,61.13,0.17,48.51,60.36,9.02,8.16,2.49
102,Malphite,5,4,A,51.54,-8.86,49.83,72.81,3.12,2.94,2.4
103,Malphite MID,5,2,C,38.07,-1.34,48.53,12.59,0.55,2.94,2.44
104,Malphite SUPPORT,5,3,D,28.76,-5.66,45.0,13.03,0.62,2.9,2.03
105,Malzahar,2,2,A,51.06,0.34,51.42,90.88,3.2,3.37,2.24
106,Maokai,5,3,C,37.94,-3.47,49.05,70.95,1.22,0.15,2.17
107,Maokai TOP,5,4,D,28.33,-4.73,46.36,22.21,0.41,0.15,2.05
108,Master Yi,0,1,A,48.95,-16.46,48.91,91.36,5.95,15.0,1.94
109,Miss Fortune,3,0,S,59.07,-1.13,50.95,90.45,10.16,2.99,2.33
110,Mordekaiser,1,4,God,80.05,-4.62,51.68,77.78,7.81,10.11,1.89
111,Mordekaiser JUNGLE,1,1,A,49.77,-0.16,52.43,15.79,1.56,10.92,2.41
112,Morgana,2,3,S,60.84,-0.35,49.74,86.75,6.84,22.17,2.49
113,Nami,4,3,God,70.11,-2.78,51.04,99.41,10.45,3.95,3.25
114,Nasus,1,4,A,54.93,-4.71,50.86,75.39,3.93,3.25,1.91
115,Nasus MID,1,2,B,42.53,0.0,51.53,11.38,0.36,3.25,2.33
116,Nautilus,5,3,S,63.57,-3.4,49.49,97.26,9.1,15.42,2.32
117,Neeko,2,2,A,50.38,2.64,52.7,58.08,2.04,0.85,2.4
118,Neeko SUPPORT,2,3,C,40.81,-0.38,51.36,22.36,0.78,0.92,2.13
119,Neeko TOP,2,4,D,32.69,-1.1,49.34,11.15,0.29,0.92,1.85
120,Nidalee,0,1,B,44.81,5.1,47.18,87.61,3.46,1.71,2.86
121,Nocturne,0,1,A,48.81,-6.64,50.12,92.67,3.19,2.71,2.68
122,Nunu,5,1,A,49.23,7.2,49.81,89.02,3.25,1.25,2.91
123,Olaf,1,4,S,58.15,-13.05,51.03,70.64,4.26,10.48,1.84
124,Olaf JUNGLE,1,1,C,42.02,4.77,48.08,27.19,1.71,10.48,2.32
125,Orianna,2,2,A,51.13,-3.34,51.02,93.12,2.77,0.19,2.75
126,Ornn,5,4,S,62.03,-2.94,51.49,90.36,4.6,0.77,2.41
127,Pantheon,1,2,B,44.47,0.46,51.16,24.53,1.21,1.21,2.32
128,Pantheon TOP,1,4,C,38.55,2.89,49.41,26.95,1.14,1.13,2.09
129,Pantheon SUPPORT,1,3,C,37.47,1.5,48.14,41.35,2.05,1.13,1.9
130,Poppy,5,1,A,49.76,13.44,51.65,51.88,1.8,1.23,2.71
131,Poppy TOP,5,4,B,43.95,9.48,51.36,38.26,1.24,1.23,2.24
132,Pyke,4,3,S,62.83,2.01,48.89,93.27,9.02,16.84,2.32
133,Qiyana,0,2,B,43.71,3.77,47.74,69.68,3.32,3.23,2.07
134,Qiyana JUNGLE,0,1,C,40.87,2.19,47.76,24.18,1.17,3.23,2.38
135,Quinn,3,4,C,38.06,0.04,49.06,80.74,1.42,0.79,1.9
136,Rakan,4,3,S,55.79,11.94,50.43,98.11,6.15,0.45,2.92
137,Rammus,5,1,A,52.26,10.18,51.59,93.88,3.09,5.97,2.9
138,Rek'Sai,1,1,B,48.04,4.41,50.27,96.07,2.73,2.51,2.58
139,Rell,5,3,C,38.59,-5.6,48.68,98.34,1.34,0.28,2.44
140,Renata Glasc,4,3,God,66.76,1.88,52.02,98.92,8.59,8.24,2.87
141,Renekton,1,2,B,45.9,2.81,53.38,13.51,0.43,1.62,2.27
142,Renekton TOP,1,4,B,43.6,2.77,48.15,84.67,2.91,1.62,1.88
143,Rengar,0,1,B,44.55,-8.08,47.81,77.62,4.08,8.7,2.26
144,Rengar TOP,0,4,D,27.19,-18.99,44.95,18.4,1.01,8.7,1.75
145,Riven,1,4,S,56.04,2.69,49.62,89.56,4.71,2.71,1.89
146,Rumble,1,2,A,49.09,6.11,53.51,33.14,0.79,0.44,2.64
147,Rumble TOP,1,4,C,36.54,1.01,48.19,53.03,1.2,0.44,2.12
148,Ryze,2,2,D,36.42,9.02,46.06,79.84,1.96,0.13,2.16
149,Ryze TOP,2,4,D,22.99,1.65,44.52,16.59,0.41,0.14,1.79
150,Samira,3,0,S,63.76,-6.67,50.37,96.0,10.16,19.23,2.31
151,Sejuani,5,1,A,51.71,10.97,51.28,58.48,1.96,0.44,3.28
152,Sejuani TOP,5,4,B,46.8,13.76,52.44,33.68,1.12,0.44,2.45
153,Senna,3,3,God,83.39,-10.98,51.77,89.21,13.08,20.11,2.69
154,Seraphine,2,2,A,52.78,4.31,52.86,18.06,1.8,1.42,2.98
155,Seraphine SUPPORT,2,3,A,52.33,2.29,48.79,63.37,6.41,1.42,2.56
156,Seraphine ADC,2,0,C,39.74,-1.26,52.07,18.15,1.66,1.42,2.89
157,Sett,1,4,S,63.15,-10.97,49.3,79.34,6.22,5.03,1.73
158,Shaco,0,1,B,46.28,-12.78,47.14,80.04,4.34,12.22,2.79
159,Shaco SUPPORT,0,3,C,37.02,-0.94,48.4,13.06,0.8,12.99,2.43
160,Shen,5,4,S,63.86,-0.3,52.73,87.67,3.64,0.7,3.08
161,Shyvana,1,1,A,52.86,-8.28,52.01,84.4,3.08,1.37,2.92
162,Shyvana TOP,1,4,C,40.4,4.96,51.75,13.03,0.47,1.41,2.16
163,Singed,5,2,S,55.96,4.92,55.52,37.36,1.45,2.2,2.83
164,Singed TOP,5,4,B,47.67,-3.93,51.35,52.76,2.18,2.2,2.06
165,Sion,5,4,B,42.61,-4.79,48.8,76.43,2.74,0.86,1.65
166,Sivir,3,0,D,34.58,-0.51,50.01,94.7,2.46,0.63,2.4
167,Skarner,1,1,A,51.24,12.92,52.39,75.95,0.84,0.19,3.05
168,Skarner TOP,1,4,B,43.75,14.22,53.14,21.33,0.22,0.19,2.45
169,Sona,4,3,A,51.7,-5.04,51.7,96.47,3.63,0.32,2.95
170,Soraka,4,3,S,56.53,-0.65,50.73,93.72,6.21,3.86,2.78
171,Swain,2,2,A,53.64,-3.45,51.66,35.09,3.24,7.64,2.55
172,Swain SUPPORT,2,3,B,46.71,-2.43,49.07,36.37,4.0,7.64,2.35
173,Swain TOP,2,4,B,45.14,-4.5,51.04,16.37,1.64,7.64,2.12
174,Swain ADC,2,0,D,36.06,-9.92,51.46,12.08,1.11,7.64,2.73
175,Sylas,2,2,God,67.31,7.85,50.7,84.45,8.59,4.99,2.18
176,Sylas TOP,2,4,D,35.72,4.66,48.66,10.71,1.03,4.99,1.93
177,Syndra,2,2,C,40.58,-3.75,47.71,84.75,2.14,0.71,2.26
178,Tahm Kench,4,4,S,59.36,19.78,53.19,54.02,3.04,2.52,2.64
179,Tahm Kench ADC,4,0,A,50.16,14.95,57.13,21.78,1.01,2.52,3.17
180,Tahm Kench SUPPORT,4,3,D,34.37,-3.51,46.7,21.86,1.11,2.52,2.39
181,Taliyah,2,2,A,48.33,-27.08,49.73,47.26,2.95,12.53,2.2
182,Taliyah JUNGLE,2,1,B,44.79,-17.67,48.06,44.44,2.87,12.53,2.52
183,Talon,0,2,B,46.54,-1.15,50.27,42.69,2.55,3.23,2.18
184,Talon JUNGLE,0,1,B,44.86,-4.83,48.25,53.64,3.22,3.23,2.49
185,Taric,4,3,A,52.2,18.28,54.29,81.52,2.09,0.34,2.9
186,Taric JUNGLE,4,1,B,47.42,0.0,50.96,10.11,0.26,0.29,2.9
187,Teemo,3,4,S,60.51,-2.46,51.6,77.54,4.6,7.35,1.74
188,Thresh,4,3,A,54.25,-0.11,48.49,96.79,7.23,2.16,2.61
189,Tristana,3,0,B,47.99,-5.9,50.21,83.4,6.89,3.84,2.33
190,Tristana MID,3,2,B,45.49,1.39,52.24,13.89,0.97,3.84,2.26
191,Trundle,1,1,A,54.51,4.5,53.34,70.27,2.97,2.4,2.79
192,Trundle TOP,1,4,C,41.5,1.24,51.94,25.78,1.09,2.4,1.76
193,Tryndamere,1,4,A,49.95,10.88,50.31,82.49,3.19,5.9,1.84
194,Tryndamere MID,1,2,B,42.65,0.0,52.08,11.42,0.38,5.9,2.12
195,Twisted Fate,2,2,B,44.19,-3.2,47.9,90.45,3.15,0.24,2.28
196,Twitch,3,0,S,63.19,6.21,51.93,85.54,10.11,8.2,2.47
197,Udyr,1,1,B,46.58,11.01,49.59,91.93,2.08,0.63,2.72
198,Urgot,1,4,A,48.59,-4.28,51.34,91.03,2.47,1.45,1.98
199,Varus,3,2,C,37.94,-0.79,49.11,13.56,0.45,0.25,2.27
200,Varus ADC,3,0,D,34.84,1.02,49.96,84.02,2.74,0.23,2.34
201,Vayne,3,0,S,57.48,-27.25,50.72,79.04,8.96,16.2,2.1
202,Vayne TOP,3,4,C,41.69,-0.77,49.45,18.11,2.01,16.2,1.58
203,Veigar,2,2,God,67.2,-2.24,51.51,77.12,7.56,7.51,2.39
204,Veigar ADC,2,0,C,36.94,3.81,52.38,14.3,1.38,7.51,2.43
205,Vel'Koz,2,2,B,47.9,0.46,51.7,41.68,1.46,0.64,2.66
206,Vel'Koz SUPPORT,2,3,B,44.43,-1.44,51.33,53.7,2.01,0.68,2.27
207,Vex,2,2,B,46.74,-7.52,48.72,89.62,3.21,5.23,2.34
208,Vi,1,1,A,49.75,-5.91,51.23,92.46,3.28,0.98,2.45
209,Viego,0,1,S,63.74,-26.75,49.8,94.06,14.18,12.97,2.49
210,Viktor,2,2,S,65.28,3.63,51.58,93.8,7.26,3.67,2.38
211,Vladimir,2,2,A,51.38,3.63,49.74,69.41,3.89,6.41,2.4
212,Vladimir TOP,2,4,C,38.05,2.28,48.36,28.38,1.45,6.41,2.04
213,Volibear,1,1,S,60.13,-0.57,53.37,54.87,6.63,7.74,2.88
214,Volibear TOP,1,4,S,56.01,15.93,48.22,42.73,5.27,7.74,1.64
215,Warwick,1,1,A,50.8,-3.99,51.31,71.42,4.39,4.24,2.26
216,Warwick TOP,1,4,A,48.09,13.79,54.25,26.29,1.21,4.24,1.94
217,Wukong,1,1,S,64.88,-26.51,52.94,76.81,8.18,25.59,2.93
218,Wukong TOP,1,4,A,49.25,-10.72,50.15,19.74,2.16,25.59,2.14
219,Xayah,3,0,B,42.63,-0.13,49.72,97.84,5.57,0.93,2.36
220,Xerath,2,2,S,55.74,1.54,52.06,43.9,2.6,3.55,3.34
221,Xerath SUPPORT,2,3,A,49.34,-3.2,51.21,50.78,3.27,3.55,2.71
222,Xin Zhao,1,1,B,44.19,10.35,48.73,88.67,2.82,0.93,2.29
223,Yasuo,1,2,God,87.4,-1.29,49.37,68.85,12.6,23.99,1.76
224,Yasuo TOP,1,4,B,46.45,2.93,49.31,14.59,2.6,23.99,1.53
225,Yasuo ADC,1,0,D,33.91,10.68,49.49,15.43,2.66,23.99,1.98
226,Yone,0,2,God,76.96,6.09,51.19,62.15,10.26,15.42,1.97
227,Yone TOP,0,4,S,63.77,0.53,50.4,34.73,5.35,15.42,1.71
228,Yorick,1,4,B,47.95,8.2,52.64,94.29,2.26,2.64,1.59
229,Yuumi,4,3,God,94.89,18.06,50.58,98.46,13.33,28.71,4.37
230,Zac,5,1,S,58.47,3.6,52.45,76.45,4.31,3.18,3.66
231,Zac TOP,5,4,A,50.9,0.0,54.42,14.51,0.69,3.18,2.79
232,Zed,0,2,God,67.98,-3.42,48.2,73.4,7.34,28.72,2.34
233,Zed JUNGLE,0,1,B,42.46,0.9,47.03,21.98,2.01,28.72,2.58
234,Zeri,3,0,God,90.64,64.58,51.62,85.78,15.62,21.15,2.5
235,Ziggs,2,2,C,42.28,-4.34,50.18,35.55,0.91,0.34,2.45
236,Ziggs ADC,2,0,D,35.08,7.31,51.29,57.15,1.39,0.32,2.54
237,Zilean,4,2,A,52.69,-1.77,52.49,21.28,1.05,2.71,3.57
238,Zilean SUPPORT,4,3,A,49.18,-5.34,49.8,75.08,3.65,2.71,3.09
239,Zoe,2,2,A,48.25,-0.96,48.23,91.87,3.82,1.73,2.51
240,Zyra,2,3,A,49.39,4.09,52.49,90.71,3.15,1.91,2.24
